Bundle_ID	Bundle_Items	Outlier_Item	Ground_Truth	Predicted_Best	Hit	Best_Score
1098	1396 53860	92754	162418	96651	False	0.4354
1378	236668 82279 31933 236666 236665 236664	181414	236663	216022	False	0.6411
605	120615 60538 168997	62360	120706	230651	False	0.2821
396	8266 38698 62717	55101	236706	232940	False	0.7390
1271	196061 217899	237245	20107	185464	False	0.3946
964	72881 128161	237396	138059	227898	False	0.5478
762	26079 4879 33671	237058	68860	8149	False	0.7252
1245	189048 104751 227144 93827 219958 106818	45830	59263	237390	False	0.5297
891	173419 184314	137826	249	237373	False	0.6885
275	187949 44829	140264	237498	236438	False	0.8127
499	195746 39271 59376 105284 232175 207562 69792	237625	226342	236799	False	0.6986
1892	97320 160085 236310	17277	30949	107783	False	0.5422
459	183036 44485 236680 197817 236681 21772 179974	166350	232060	150171	False	0.6671
1422	10824 8908	121674	150140	236432	False	0.5147
1854	231069 130104	157581	162348	119018	False	0.7609
1035	34023 171716	237403	218181	237599	False	0.6190
497	58633 194628	33972	72151	237571	False	0.5833
1428	126986 237276 37414	236865	237272	201697	False	0.6142
1129	236607 203289	99647	213742	127565	False	0.6125
829	65602 33927	156257	236888	189183	False	0.7833
1128	228501 152318	16051	236606	34560	False	0.6867
765	124154 55653 236899	171200	52701	78008	False	0.7155
1767	215844 216094 103057 54636 191269 156292 146120 69775 212173	205391	7235	216772	False	0.5306
1689	236502 44802 93627	203779	178359	36689	False	0.6433
265	8606 236422 56420	33924	75637	145717	False	0.8956
982	28675 125214	107379	395	39408	False	0.8768
952	112449 223596 233239	237009	111447	94224	False	0.7740
171	229953 144988	237582	123819	187624	False	0.7505
1446	174487 126443 98181	63455	140956	237399	False	0.6358
84	16514 236685 173779 168220 103204 236686 197003	207026	236687	173114	False	0.7746
211	81718 218072 202052	141367	56280	115811	False	0.4538
297	37506 237058	12964	175745	217223	False	0.7109
1213	237162 237161	124716	237160	237363	False	0.9267
1825	55788 215416 207290 190739 137072 167023	39300	228520	129200	False	0.4920
1530	71417 168684	126140	236581	26413	False	0.6110
1305	137858 152849 236722	97185	78698	208763	False	0.6266
1823	93607 237117	236583	237116	237515	False	0.6911
1148	26580 236534 30203 29192 236535	163761	236536	5383	False	0.6644
115	84718 22240 115643 204128 236691 109708 2179	189403	236692	236775	False	0.6537
733	23919 133232 230570 193399 210115 17354 156809 202980	214850	181345	5491	False	0.5459
724	13318 237461	155526	195819	103603	False	0.8354
1563	57027 10743 36717 68124	46553	47440	159791	False	0.5529
904	127032 9138 138452 51070 163087 227246	79775	237105	149360	False	0.5003
1019	79253 237603	170568	237602	155604	False	0.6753
471	236697 141740	170347	236694	223373	False	0.7921
1072	139093 190121	153184	157854	237143	False	0.6355
18	32272 139919 146856 237065 150173	9819	237064	236607	False	0.6172
1568	161657 186466	236507	151344	79116	False	0.9068
1382	143187 61665 41856	180794	76838	157228	False	0.5366
221	136242 78916 169493	236794	58699	72279	False	0.7599
1308	81718 6764	186832	198677	236789	False	0.7838
1783	222788 187076	237139	236436	236436	True	0.2148
1434	236505 236506 236507 36820	150864	209784	74174	False	0.7268
1722	79465 211118	90129	61713	166372	False	0.8512
1474	66570 71971 125862	205097	222224	118787	False	0.6019
1242	118126 226048 29700	172288	140782	226104	False	0.7092
1822	93607 237117 237116	237328	26770	161349	False	0.6269
1905	156659 202610 148508	236392	20679	222574	False	0.6825
1773	83589 64878 98877 50714 104763 226828	229179	171371	149079	False	0.5847
837	33049 47720 194972	57659	3462	178343	False	0.7181
306	234531 220815 124106 236614 236615 236616	150086	17024	17024	True	0.2119
1738	152445 159548	199827	29981	105434	False	0.6395
4	237390 237389	237234	216974	202826	False	0.7403
1385	187949 210156 151951 126369 95430 77102	196458	192801	35995	False	0.7861
1379	236827 173240	103500	236824	236743	False	0.9027
